Gard ID,identifiers,Number of Matches,QID
84,OMIM:608594 | UMLS:C1720862 | ,2,Q32147669 | Q3242224 | 
,,,
10212,OMIM:269700 | ,1,Q32147684 | 
,,,
13389,OMIM:612526 | ,1,Q32147698 | 
,,,
10937,OMIM:613327 | ORPHANET:228429 | ,1,Q32147713 | 
,,,
219,,0,
,,,
6164,OMIM:234700 | ORPHANET:60041 | UMLS:C0149530 | ,1,Q18558252 | 
,,,
1483,,0,
,,,
1484,,0,
,,,
6167,UMLS:C0002881 | ,1,Q5160435 | 
,,,
6168,,0,
,,,
1486,UMLS:C0276225 | ,1,Q3134326 | 
,,,
10328,OMIM:609423 | ,2,Q24960226 | Q12199 | 
,,,
6682,ORPHANET:2185 | ,4,Q55345870 | Q55345706 | Q193003 | Q55345956 | 
,,,
3947,ORPHANET:657 | ,1,Q5160437 | 
,,,
6170,OMIM:605253 | ORPHANET:99951 | ,1,Q27677657 | 
,,,
1487,OMIM:275200 | ORPHANET:442 | UMLS:C0010308 | ,4,Q50349692 | Q5160439 | Q531012 | Q55762558 | 
,,,
1488,,0,
,,,
1489,,0,
,,,
12267,OMIM:243000 | ORPHANET:88642 | ,2,Q50349727 | Q3045238 | 
,,,
3006,OMIM:256800 | ORPHANET:642 | UMLS:C0020074 | ,2,Q50349712 | Q501694 | 
,,,
12426,OMIM:251290 | ORPHANET:1229 | ,1,Q9390596 | 
,,,
12311,ORPHANET:53690 | OMIM:223000 | ,1,Q3043135 | 
,,,
12713,ORPHANET:137932 | ,1,Q55785389 | 
,,,
1465,OMIM:201710 | ORPHANET:90790 | UMLS:C0342474 | ,2,Q366868 | Q4262866 | 
,,,
2104,OMIM:130710 | ORPHANET:1928 | ,1,Q21027078 | 
,,,
3328,UMLS:C1704423 | ,2,Q1996246 | Q60195052 | 
,,,
1492,,0,
,,,
1493,UMLS:C1332965 | SNOMED CT:307604008 | ,1,Q18556472 | 
,,,
3635,OMIM:156600 | ORPHANET:566 | UMLS:C1303009 | ,1,Q720101 | 
,,,
12551,ORPHANET:238722 | OMIM:157600 | OMIM:614508 | OMIM:616059 | ,4,Q6874652 | Q56013514 | Q25377900 | Q56003003 | 
,,,
1495,,0,
,,,
1496,UMLS:C0158618 | ,1,Q55789331 | 
,,,
1498,,0,
,,,
12588,ORPHANET:352687 | ,1,Q55787759 | 
,,,
9138,UMLS:C0699743 | ORPHANET:97242 | ,1,Q1321884 | 
,,,
12584,ORPHANET:370953 | ,2,Q18553324 | Q29014918 | 
,,,
12585,ORPHANET:157973 | OMIM:613205 | ,1,Q32139709 | 
,,,
3843,OMIM:607855 | ORPHANET:258 | UMLS:C1263858 | ,1,Q32139651 | 
,,,
12587,ORPHANET:34520 | OMIM:613204 | ,1,Q32139695 | 
,,,
12589,,0,
,,,
11902,ORPHANET:590 | ,23,Q32139891 | Q32140059 | Q32140019 | Q32140112 | Q3508800 | Q32140212 | Q32139982 | Q32140190 | Q32139946 | Q32139971 | Q32140098 | Q32140031 | Q55998682 | Q32139991 | Q32140167 | Q32139880 | Q32140200 | Q32140125 | Q32139917 | Q32140138 | Q32140045 | Q32140154 | Q32140177 | 
,,,
10108,UMLS:C1837091 | ,1,Q32140167 | 
,,,
9689,OMIM:254210 | UMLS:C0393929 | ORPHANET:98914 | ,4,Q56014417 | Q32140059 | Q32139880 | Q32140212 | 
,,,
9134,UMLS:C0410226 | ,0,
,,,
1497,,0,
,,,
1500,OMIM:256300 | ORPHANET:839 | UMLS:C0403399 | ,2,Q504790 | Q2160802 | 
,,,
6177,UMLS:C0017551 | ,2,Q752216 | Q56014572 | 
,,,
9952,OMIM:610256 | UMLS:C1853230 | ORPHANET:83461 | ,2,Q18554069 | Q558623 | 
,,,
9722,UMLS:C0332881 | ,1,Q56013733 | 
,,,
4582,OMIM:265120 | UMLS:C2931035 | ORPHANET:264675 | ,3,Q7646050 | Q55949843 | Q448698 | 
,,,
9900,OMIM:265300 | ORPHANET:2414 | UMLS:C1849554 | ,1,Q9378134 | 
,,,
10876,OMIM:179300 | ORPHANET:3269 | ,1,Q16892594 | 
,,,
4744,ORPHANET:290 | ,1,Q1724539 | 
,,,
1504,,0,
,,,
7710,OMIM:222900 | ORPHANET:35122 | UMLS:C1283620 | ,2,Q498826 | Q56014573 | 
,,,
6183,UMLS:C1283620 | ,2,Q498826 | Q56014573 | 
,,,
9430,OMIM:274150 | ORPHANET:93583 | ,2,Q18604563 | Q1426491 | 
,,,
4908,OMIM:189600 | ,1,Q3993706 | 
,,,
12008,OMIM:603569 | ORPHANET:141127 | ,0,
,,,
10515,ORPHANET:95430 | UMLS:C0392109 | ,1,Q910455 | 
,,,
1507,,0,
,,,
1508,,0,
,,,
45,UMLS:C0343560 | ORPHANET:291 | ,1,Q55787014 | 
,,,
5488,OMIM:192950 | ORPHANET:178382 | UMLS:C0240912 | ,1,Q7355063 | 
,,,
13441,"ICD 10-CM:A92.5, Zika virus disease | ORPHANET:448237 | ",1,Q8071861 | 
,,,
1544,UMLS:C0344616 | ORPHANET:216694 | ,1,Q1784755 | 
,,,
10744,UMLS:C0346360 | ,1,Q18554892 | 
,,,
8446,,0,
,,,
8189,OMIM:217095 | ORPHANET:2445 | UMLS:C1857586 | ,3,Q361648 | Q7688951 | Q3055156 | 
,,,
1512,UMLS:C1834559 | ,3,Q56014383 | Q21694563 | Q56014576 | 
,,,
1513,ORPHANET:725 | ,1,Q56014262 | 
,,,
6191,UMLS:C0009946 | ,1,Q1051355 | 
,,,
1519,OMIM:269720 | ,1,Q15975183 | 
,,,
856,OMIM:601764 | ORPHANET:306 | UMLS:C1866328 | ,1,Q4887955 | 
,,,
1522,OMIM:121270 | ORPHANET:1551 | UMLS:C1852576 | ,1,Q1495005 | 
,,,
10240,OMIM:608158 | UMLS:C1842463 | ,1,Q55783550 | 
,,,
6193,UMLS:C0152238 | ,1,Q55790081 | 
,,,
6194,UMLS:C0009995 | ORPHANET:1463 | ,1,Q5169382 | 
,,,
12483,ORPHANET:99098 | ,1,Q55789362 | 
,,,
12484,ORPHANET:99099 | ,1,Q55789364 | 
,,,
1523,,0,
,,,
9507,OMIM:121390 | UMLS:C1852558 | ,1,Q55780442 | 
,,,
1526,,0,
,,,
1529,OMIM:217400 | ORPHANET:1490 | UMLS:C1857572 | ,1,Q9390246 | 
,,,
9278,OMIM:607541 | ORPHANET:98963 | ,1,Q21154084 | 
,,,
9277,OMIM:121800 | ORPHANET:98967 | UMLS:C0271287 | ,1,Q4162393 | 
,,,
1528,,0,
,,,
9276,OMIM:608470 | UMLS:C0339278 | ,1,Q4162390 | 
,,,
1530,,0,
,,,
9275,OMIM:602082 | ORPHANET:98960 | UMLS:C1562894 | ,1,Q4162389 | 
,,,
6196,ORPHANET:293603 | OMIM:217700 | ,1,Q4127191 | 
,,,
10034,OMIM:122450 | ORPHANET:231013 | UMLS:C1852541 | ,1,Q55780446 | 
,,,
13487,,0,
,,,
10109,OMIM:122470 | ORPHANET:199 | UMLS:C0270972 | ,1,Q1133289 | 
,,,
1531,OMIM:122440 | ORPHANET:3194 | UMLS:C1852542 | ,1,Q5171588 | 
,,,
1532,,0,
,,,
1533,,0,
,,,
1534,UMLS:C0158623 | ,2,Q56013696 | Q5172184 | 
,,,
6200,UMLS:C0010051 | ,1,Q5172183 | 
,,,
1535,OMIM:217990 | ORPHANET:200 | ,1,Q1135124 | 
,,,
1536,ORPHANET:1492 | ,1,Q55785486 | 
,,,
1538,,0,
,,,
1541,,0,
,,,
1542,,0,
,,,
1543,,0,
,,,
1546,,0,
,,,
1547,,0,
,,,
1548,OMIM:218010 | ORPHANET:1389 | ,1,Q55781769 | 
,,,
10290,OMIM:604922 | UMLS:C1858032 | ,1,Q55783393 | 
,,,
13032,ORPHANET:300570 | OMIM:614039 | ,2,Q30989316 | Q30989519 | 
,,,
46,ORPHANET:454887 | UMLS:C0393570 | ,2,Q55346059 | Q1755684 | 
,,,
13101,ORPHANET:199247 | OMIM:611489 | ,1,Q30989071 | 
,,,
10946,ORPHANET:54251 | ,1,Q55788396 | 
,,,
9882,OMIM:604931 | UMLS:C1291245 | ,2,Q17084678 | Q30988911 | 
,,,
1550,OMIM:218040 | ORPHANET:3071 | UMLS:C0587248 | ,1,Q1136492 | 
,,,
1551,OMIM:122580 | ORPHANET:2391 | UMLS:C1852523 | ,1,Q55780450 | 
,,,
1554,UMLS:C2931195 | ORPHANET:1502 | ,1,Q55789851 | 
,,,
10799,,0,
,,,
1555,OMIM:260660 | ORPHANET:93333 | UMLS:C1850040 | ,1,Q55782194 | 
,,,
6202,OMIM:158350 | ORPHANET:201 | ,4,Q1138188 | Q3508737 | Q7251694 | Q1461101 | 
,,,
8750,OMIM:122750 | UMLS:C0152431 | ,1,Q1138267 | 
,,,
1558,UMLS:C1852513 | ,1,Q55780452 | 
,,,
6205,UMLS:C0751381 | ,0,
,,,
1561,ORPHANET:202 | UMLS:C0432348 | ,1,Q5181978 | 
,,,
8428,OMIM:218090 | ORPHANET:1512 | UMLS:C1857532 | ,1,Q19277644 | 
,,,
1564,,0,
,,,
1567,OMIM:218300 | ORPHANET:1513 | UMLS:C0410539 | ,2,Q18553749 | Q5182138 | 
,,,
359,OMIM:218330 | ORPHANET:1515 | UMLS:C0432235 | ,1,Q7451019 | 
,,,
1570,,0,
,,,
1571,OMIM:122880 | ORPHANET:1529 | UMLS:C1852510 | ,1,Q55780454 | 
,,,
1573,,0,
,,,
2016,OMIM:122900 | ORPHANET:1798 | UMLS:C0432263 | ,1,Q55780455 | 
,,,
1575,OMIM:218350 | ORPHANET:1516 | UMLS:C1857511 | ,1,Q55781775 | 
,,,
12994,,0,
,,,
1578,OMIM:304110 | ORPHANET:1520 | UMLS:C0220767 | ,1,Q5182141 | 
,,,
1579,,0,
,,,
1581,OMIM:123000 | ORPHANET:1522 | ,1,Q18553749 | 
,,,
1582,OMIM:218400 | ORPHANET:1522 | ,1,Q18553749 | 
,,,
1583,UMLS:C1865184 | ,1,Q55783284 | 
,,,
10486,ORPHANET:54595 | ,1,Q1786513 | 
,,,
10504,UMLS:C0152426 | ORPHANET:63260 | ,1,Q55788430 | 
,,,
1584,,0,
,,,
6209,ORPHANET:1531 | UMLS:C0010278 | OMIM:123100 | ,6,Q378183 | Q56013709 | Q56014092 | Q56014090 | Q3813599 | Q56014089 | 
,,,
1586,,0,
,,,
1587,,0,
,,,
1588,,0,
,,,
1590,,0,
,,,
1591,,0,
,,,
1593,,0,
,,,
1595,,0,
,,,
1598,,0,
,,,
1599,UMLS:C1857472 | ,1,Q55781780 | 
,,,
1600,,0,
,,,
1601,UMLS:C1832590 | ,1,Q56013725 | 
,,,
9506,OMIM:603116 | ORPHANET:85199 | UMLS:C1864186 | ,1,Q5182151 | 
,,,
1605,OMIM:218670 | ORPHANET:1528 | UMLS:C1857471 | ,1,Q51122293 | 
,,,
1607,,0,
,,,
1609,UMLS:C1562462 | ORPHANET:504 | ,1,Q56042345 | 
,,,
12430,ORPHANET:90290 | OMIM:181750 | ,3,Q5340515 | Q55950310 | Q763356 | 
,,,
1610,,0,
,,,
6956,OMIM:123400 | ORPHANET:204 | ,4,Q55346057 | Q49989 | Q55345939 | Q55345655 | 
,,,
6213,OMIM:123450 | ORPHANET:281 | ,1,Q752298 | 
,,,
47,OMIM:218800 | ORPHANET:79234 | ,1,Q1140000 | 
,,,
8683,OMIM:606785 | ORPHANET:79235 | UMLS:C2931132 | ,1,Q55999724 | 
,,,
203,UMLS:C0341116 | ,1,Q55790112 | 
,,,
1614,OMIM:218900 | ORPHANET:1380 | UMLS:C0795914 | ,1,Q5187584 | 
,,,
4427,OMIM:175500 | ORPHANET:2930 | ,1,Q1422034 | 
,,,
1616,,0,
,,,
1617,UMLS:C1867999 | ,1,Q55781397 | 
,,,
6206,OMIM:123500 | ORPHANET:207 | ,1,Q779250 | 
,,,
10078,OMIM:605945 | UMLS:C1853826 | ,1,Q55783435 | 
,,,
12151,,0,
,,,
9908,UMLS:C0272263 | ,1,Q5190514 | 
,,,
6217,UMLS:C0010403 | ,1,Q1790371 | 
,,,
10927,,0,
,,,
6218,UMLS:C0010414 | ,1,Q1470140 | 
,,,
1620,ORPHANET:1302 | UMLS:C0242770 | ,1,Q2012642 | 
,,,
8174,OMIM:123560 | ORPHANET:1547 | UMLS:C1852454 | ,1,Q55780463 | 
,,,
10505,UMLS:C0311249 | ,1,Q590324 | 
,,,
6219,UMLS:C0010418 | ,1,Q1359898 | 
,,,
13349,OMIM:615849 | ORPHANET:420584 | ,1,Q55784796 | 
,,,
10163,OMIM:607656 | UMLS:C1843291 | ,1,Q55783524 | 
,,,
1626,OMIM:176450 | ORPHANET:1552 | UMLS:C1531773 | ,2,Q5194974 | Q56013724 | 
,,,
5584,OMIM:601707 | ORPHANET:1553 | UMLS:C0795915 | ,1,Q55783221 | 
,,,
1631,,0,
,,,
6224,OMIM:219080 | ORPHANET:553 | ,2,Q219102 | Q55781784 | 
,,,
8158,UMLS:C0003177 | ,1,Q18557581 | 
,,,
12428,ORPHANET:280779 | ,1,Q55786929 | 
,,,
1629,,0,
,,,
6225,UMLS:C0024137 | ,1,Q18553226 | 
,,,
12687,ORPHANET:79455 | ,1,Q7558253 | 
,,,
7842,ORPHANET:66646 | ,1,Q18975562 | 
,,,
1633,OMIM:219095 | ORPHANET:2881 | UMLS:C1857449 | ,1,Q55781786 | 
,,,
7415,UMLS:C0343190 | ,1,Q55788201 | 
,,,
9752,,0,
,,,
6226,UMLS:C0079773 | ORPHANET:171901 | ,1,Q5196687 | 
,,,
12392,,0,
,,,
1635,,0,
,,,
6227,ORPHANET:209 | ,1,Q2735907 | 
,,,
1637,,0,
,,,
1639,OMIM:123700 | ORPHANET:90348 | ,3,Q50349708 | Q2735907 | Q50349696 | 
,,,
8480,OMIM:219100 | ORPHANET:90349 | UMLS:C2931134 | ,2,Q50349701 | Q2735907 | 
,,,
1638,OMIM:219200 | UMLS:C0268355 | ,4,Q29982086 | Q2735907 | Q50349700 | Q1200233 | 
,,,
1641,OMIM:612940 | ,2,Q2735907 | Q50349703 | 
,,,
6228,OMIM:219250 | ORPHANET:1556 | UMLS:C0345419 | ,1,Q1997180 | 
,,,
1643,ORPHANET:671 | UMLS:C0263417 | ,1,Q5196861 | 
,,,
1644,UMLS:C1857444 | ,1,Q55790117 | 
,,,
1646,,0,
,,,
6229,OMIM:162800 | ORPHANET:2686 | UMLS:C0221023 | ,1,Q5198214 | 
,,,
9862,OMIM:188020 | UMLS:C0272282 | ,1,Q55781549 | 
,,,
9528,UMLS:C0343398 | ,1,Q3008595 | 
,,,
11906,OMIM:160990 | ORPHANET:171886 | ,1,Q21505531 | 
,,,
12346,,0,
,,,
9487,OMIM:123853 | ORPHANET:2674 | UMLS:C1852396 | ,1,Q55780466 | 
,,,
6232,UMLS:C0010668 | ,1,Q246040 | 
,,,
11976,,0,
,,,
6233,OMIM:219700 | ORPHANET:586 | ,1,Q178194 | 
,,,
6234,OMIM:257350 | UMLS:C0206620 | ,1,Q459896 | 
,,,
1654,OMIM:607086 | ORPHANET:229 | UMLS:C0392775 | ,4,Q246048 | Q3616648 | Q5432930 | Q594660 | 
,,,
8194,,0,
,,,
6236,ORPHANET:213 | UMLS:C0010690 | OMIM:219800 | OMIM:219750 | OMIM:219900 | ,5,Q55998570 | Q55998574 | Q56014157 | Q55998573 | Q1149042 | 
,,,
9756,OMIM:219750 | ,2,Q1149042 | Q55998570 | 
,,,
6237,OMIM:220100 | ORPHANET:214 | UMLS:C0010691 | ,3,Q56014353 | Q1149046 | Q56014354 | 
,,,
3033,UMLS:C0311386 | ,1,Q428447 | 
,,,
48,OMIM:220110 | UMLS:C0268237 | ,1,Q18556069 | 
,,,
9529,,0,
,,,
9530,,0,
,,,
1657,,0,
,,,
9531,UMLS:C0206178 | ,1,Q4271835 | 
,,,
1658,,0,
,,,
10220,OMIM:609162 | ORPHANET:137678 | UMLS:C1836683 | ,1,Q55783645 | 
,,,
233,,0,
,,,
5661,UMLS:C1833429 | ORPHANET:79315 | ,1,Q18553318 | 
,,,
4539,OMIM:261515 | ORPHANET:300 | ,1,Q5203306 | 
,,,
234,OMIM:220120 | ORPHANET:941 | UMLS:C1291386 | ,1,Q5203266 | 
,,,
6240,,0,
,,,
6241,,0,
,,,
236,UMLS:C2931014 | ,1,Q5208264 | 
,,,
237,OMIM:247410 | ORPHANET:1563 | UMLS:C1855477 | ,1,Q17125068 | 
,,,
1666,OMIM:236660 | ORPHANET:2181 | UMLS:C1856051 | ,1,Q55781947 | 
,,,
6242,OMIM:220200 | ORPHANET:217 | ,1,Q733493 | 
,,,
4665,OMIM:267010 | UMLS:C2673885 | ORPHANET:3032 | ,2,Q3508640 | Q50349687 | 
,,,
5666,OMIM:220210 | ORPHANET:7 | UMLS:C0796137 | ,3,Q26492786 | Q2155008 | Q26492787 | 
,,,
8520,OMIM:304340 | ORPHANET:1568 | UMLS:C0796254 | ,2,Q18411789 | Q28065605 | 
,,,
137,UMLS:C2931823 | ,1,Q55790126 | 
,,,
1669,OMIM:220220 | ORPHANET:1566 | UMLS:C1857351 | ,1,Q55781799 | 
,,,
1592,ORPHANET:1538 | OMIM:123155 | UMLS:C1852488 | ,2,Q55345654 | Q193003 | 
,,,
1671,OMIM:138790 | ORPHANET:2091 | UMLS:C1841853 | ,1,Q55780823 | 
,,,
9730,OMIM:300257 | ORPHANET:34587 | UMLS:C0878677 | ,1,Q5220984 | 
,,,
6243,OMIM:124200 | ORPHANET:218 | UMLS:C0022595 | ,1,Q580506 | 
,,,
10568,OMIM:611733 | UMLS:C2673203 | ,1,Q55783835 | 
,,,
1672,ORPHANET:3215 | UMLS:C2931076 | ,1,Q55790128 | 
,,,
12964,OMIM:610198 | ORPHANET:66634 | ,1,Q27677576 | 
,,,
12398,OMIM:614507 | ORPHANET:300536 | ,1,Q18553313 | 
,,,
12715,OMIM:300958  | ,0,
,,,
49,OMIM:219150 | ORPHANET:2962 | UMLS:C0268354 | ,3,Q50349709 | Q2735907 | Q50349698 | 
,,,
8276,OMIM:278800 | ORPHANET:1569 | UMLS:C0265201 | ,1,Q3843801 | 
,,,
13474,OMIM:617171 | OMIM:602635 | ORPHANET:468620 | ,1,Q55785142 | 
,,,
12844,ORPHANET:363396 | OMIM:221200 | ,1,Q17539935 | 
,,,
305,OMIM:221320 | ORPHANET:3236 | UMLS:C1857340 | ,1,Q55781805 | 
,,,
1684,UMLS:C1852292 | ,2,Q55780472 | Q56014577 | 
,,,
1686,UMLS:C1852278 | ,1,Q55780479 | 
,,,
1687,OMIM:234580 | ORPHANET:3220 | UMLS:C1856186 | ,2,Q55346131 | Q55345705 | 
,,,
1689,,0,
,,,
1690,OMIM:311850 | UMLS:C2931079 | ,1,Q55790132 | 
,,,
1691,OMIM:304350 | ORPHANET:90646 | UMLS:C1844680 | ,1,Q55782545 | 
,,,
1692,,0,
,,,
1693,,0,
,,,
1694,,0,
,,,
1695,OMIM:107100 | UMLS:C2931080 | ,2,Q55780334 | Q56013852 | 
,,,
1698,OMIM:221740 | ORPHANET:3230 | UMLS:C1857333 | ,1,Q55781809 | 
,,,
1701,,0,
,,,
1702,,0,
,,,
10707,OMIM:610706 | ,1,Q55783760 | 
,,,
1707,,0,
,,,
9726,OMIM:603622 | ,1,Q28024676 | 
,,,
9167,OMIM:606346 | UMLS:C2931767 | ,1,Q28024680 | 
,,,
1708,OMIM:605192 | UMLS:C2931768 | ,1,Q28024681 | 
,,,
9166,OMIM:606282 | UMLS:C2931769 | ,1,Q28024682 | 
,,,
9933,OMIM:601544 | UMLS:C2931770 | ,1,Q28024692 | 
,,,
9934,OMIM:609965 | ,1,Q28024708 | 
,,,
9918,OMIM:609941 | UMLS:C1864968 | ,1,Q28024635 | 
,,,
9919,OMIM:609952 | UMLS:C1864962 | ,1,Q28024637 | 
,,,
12472,OMIM:300475 | ORPHANET:369942 | ,2,Q55999520 | Q55346032 | 
,,,
1688,OMIM:601351 | ORPHANET:3218 | ,1,Q55783092 | 
,,,
1709,,0,
,,,
1710,,0,
,,,
9935,OMIM:609946 | ,1,Q28024631 | 
,,,
4504,OMIM:304400 | ORPHANET:383 | UMLS:C1844678 | ,3,Q18553311 | Q928697 | Q1555358 | 
,,,
1715,,0,
,,,
11911,OMIM:611102 | ORPHANET:94064 | ,1,Q55783802 | 
,,,
13030,OMIM:614038 | ORPHANET:3226 | ICD 10:D46.7 | ,2,Q7307574 | Q55610804 | 
,,,
1720,,0,
,,,
10516,OMIM:612852 | ORPHANET:210115 | UMLS:C2748507 | ,1,Q5251548 | 
,,,
12315,OMIM:615273 | ,1,Q28024539 | 
,,,
1722,ORPHANET:315 | UMLS:C0221011 | ,1,Q22965430 | 
,,,
6249,OMIM:602248 | ORPHANET:679 | UMLS:C0221011 | ,2,Q22965430 | Q911136 | 
,,,
5623,OMIM:194380 | ORPHANET:3202 | UMLS:C0272051 | ,2,Q55781621 | Q56014059 | 
,,,
10676,OMIM:603528 | UMLS:C1863769 | ,1,Q55781621 | 
,,,
1727,OMIM:155980 | UMLS:C1835030 | ORPHANET:3034 | ,1,Q55781221 | 
,,,
1798,,0,
,,,
1799,,0,
,,,
8344,OMIM:176500 | UMLS:C1867773 | ORPHANET:97345 | ,3,Q55346051 | Q5432926 | Q50349602 | 
,,,
9169,OMIM:117300 | UMLS:C1861735 | ,2,Q50349603 | Q55346051 | 
,,,
1802,,0,
,,,
8317,UMLS:C1260325 | ,2,Q5464657 | Q56014397 | 
,,,
10934,OMIM:614172 | ORPHANET:228423 | ,1,Q6901244 | 
,,,
6254,OMIM:614371 | ORPHANET:99828 | ,3,Q18573410 | Q56002926 | Q30953 | 
,,,
290,OMIM:234100 | UMLS:C2931775 | ,2,Q56014575 | Q1459851 | 
,,,
10069,OMIM:125300 | UMLS:C1852250 | ,1,Q55780482 | 
,,,
8555,OMIM:609814 | ORPHANET:93571 | ,4,Q56014352 | Q2299379 | Q56013787 | Q56014073 | 
,,,
13105,ORPHANET:1652 | ,4,Q55999570 | Q55999527 | Q4420121 | Q55999560 | 
,,,
5643,ORPHANET:101 | OMIM:125370 | ,1,Q2280285 | 
,,,
1808,OMIM:125440 | ORPHANET:99792 | UMLS:C1852201 | ,1,Q55780485 | 
,,,
1806,ORPHANET:99791 | OMIM:125420 | ,1,Q5259533 | 
,,,
1807,OMIM:125400 | UMLS:C0399379 | ORPHANET:99789 | ,2,Q56014042 | Q5259533 | 
,,,
6258,UMLS:C0205730 | ORPHANET:49042 | ,1,Q548984 | 
,,,
12796,ORPHANET:166260 | ,1,Q55783418 | 
,,,
10144,OMIM:125500 | UMLS:C0399378 | ORPHANET:166265 | ,1,Q548984 | 
,,,
5576,OMIM:194080 | ORPHANET:220 | UMLS:C0950121 | ,1,Q774016 | 
,,,
13299,,0,
,,,
6260,UMLS:C0683416 | ,1,Q2338307 | 
,,,
1810,OMIM:266255 | UMLS:C2931776 | ,1,Q55782257 | 
,,,
10345,UMLS:C1305968 | ,3,Q56014554 | Q245711 | Q1200228 | 
,,,
1917,OMIM:601230 | ORPHANET:1656 | UMLS:C0011608 | ,1,Q1151507 | 
,,,
1812,,0,
,,,
9569,OMIM:607907 | ORPHANET:31112 | UMLS:C0392784 | ,1,Q1200239 | 
,,,
1813,OMIM:221790 | UMLS:C1857314 | ,1,Q55781812 | 
,,,
6263,ORPHANET:221 | ,1,Q681160 | 
,,,
1814,OMIM:221810 | ORPHANET:1657 | UMLS:C1857301 | ,1,Q55781814 | 
,,,
8550,OMIM:125595 | ORPHANET:86920 | UMLS:C0406778 | ,1,Q5262702 | 
,,,
2089,OMIM:225410 | ORPHANET:1901 | ,1,Q55781854 | 
,,,
1815,OMIM:221800 | ORPHANET:79149 | UMLS:C0432288 | ,1,Q51727258 | 
,,,
2580,OMIM:304730 | UMLS:C1844671 | ,1,Q55782546 | 
,,,
1816,OMIM:125640 | ORPHANET:1660 | UMLS:C1852144 | ,1,Q5262785 | 
,,,
1818,OMIM:251450 | ORPHANET:1425 | UMLS:C0432242 | OMIM:615777 | ,2,Q55999537 | Q17122800 | 
,,,
1820,OMIM:135290 | ORPHANET:873 | UMLS:C1851124 | ,2,Q55950219 | Q1410851 | 
,,,
9617,UMLS:C0457179 | ,1,Q55790142 | 
,,,
8648,UMLS:C1321878 | ,1,Q9392652 | 
,,,
6265,ORPHANET:83469 | UMLS:C0281508 | ,1,Q5264831 | 
,,,
10283,OMIM:602398 | ORPHANET:35107 | UMLS:C1865596 | ,1,Q5264836 | 
,,,
1823,UMLS:C1838630 | ORPHANET:1799 | ,1,Q55782808 | 
,,,
10035,OMIM:610382 | ,1,Q55783743 | 
,,,
10052,OMIM:610136 | UMLS:C1857830 | ,1,Q55783728 | 
,,,
1827,UMLS:C0011813 | ,1,Q579665 | 
,,,
6268,UMLS:C1395317 | ,1,Q55790143 | 
,,,
136,OMIM:221950 | UMLS:C1857298 | ,1,Q55781815 | 
,,,
1697,OMIM:220290 | ,2,Q18553310 | Q28024600 | 
,,,
12415,,0,
,,,
9750,UMLS:C0023440 | ,2,Q55950214 | Q3843804 | 
,,,
259,OMIM:221995 | ORPHANET:3145 | ,1,Q55781817 | 
,,,
1840,,0,
,,,
8322,,0,
,,,
6274,ORPHANET:124 | ICD 10:D61.0 | ,3,Q9390252 | Q1208654 | Q55999713 | 
,,,
8283,OMIM:606129 | UMLS:C1853666 | ,1,Q1208654 | 
,,,
10241,OMIM:610629 | UMLS:C1857719 | ,1,Q1208654 | 
,,,
9797,OMIM:605233 | UMLS:C2931071 | ,1,Q55783403 | 
,,,
1843,,0,
,,,
13617,ICD 10:J98.6 | ,0,
,,,
1846,,0,
,,,
1847,,0,
,,,
10072,OMIM:112250 | ORPHANET:85182 | UMLS:C1862177 | ,1,Q55780373 | 
,,,
6275,OMIM:222600 | ORPHANET:628 | ,1,Q3335666 | 
,,,
1854,,0,
,,,
1853,,0,
,,,
1855,OMIM:222730 | ORPHANET:2195 | UMLS:C1857253 | ,1,Q16252204 | 
,,,
10734,OMIM:601200 | ,2,Q56013966 | Q7204815 | 
,,,
1857,,0,
,,,
1858,,0,
,,,
6276,UMLS:C0342436 | ORPHANET:1672 | ,1,Q25324193 | 
,,,
204,UMLS:C2931124 | ,1,Q55790152 | 
,,,
1859,ORPHANET:1916 | ,1,Q55785875 | 
,,,
10930,,0,
,,,
5907,UMLS:C0280785 | ORPHANET:251595 | ,1,Q55786375 | 
,,,
10750,,0,
,,,
12686,ORPHANET:79456 | ,1,Q5275410 | 
,,,
9751,UMLS:C1258104 | ORPHANET:220393 | ,1,Q18554846 | 
,,,
10888,,0,
,,,
10334,OMIM:137215 | UMLS:C0206696 | ,2,Q189588 | Q825923 | 
,,,
10780,,0,
,,,
13075,,0,
,,,
3178,UMLS:C0079744 | ORPHANET:544 | ,1,Q2626074 | 
,,,
3547,OMIM:256370 | UMLS:C0268747 | ,3,Q56014244 | Q504790 | Q55782142 | 
,,,
1861,UMLS:C0474965 | ,1,Q5275418 | 
,,,
1862,OMIM:600231 | UMLS:C1838359 | ,1,Q55999597 | 
,,,
8526,OMIM:604809 | ORPHANET:171700 | UMLS:C0878555 | ,1,Q3085380 | 
,,,
10409,,0,
,,,
3263,UMLS:C0268193 | ORPHANET:2394 | OMIM:246900 | ,2,Q402575 | Q55782093 | 
,,,
4319,OMIM:261630 | ORPHANET:226 | ,2,Q54889362 | Q5958471 | 
,,,
12347,OMIM:222748 | ORPHANET:38874 | ,1,Q55998576 | 
,,,
10666,UMLS:C0268120 | ,1,Q4682223 | 
,,,
221,ORPHANET:217604 | ,1,Q283656 | 
,,,
3373,OMIM:212112 | ORPHANET:2229 | UMLS:C0796031 | ,1,Q6744557 | 
,,,
